TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
FOXP1	HSP90AA1	3	75.0	1.156834536576165	CD8 Exhausted
FOXP1	NR3C1	3	75.0	1.120695722236441	CD8 Exhausted
FOXP1	MTRNR2L8	4	100.0	1.0764774375344466	CD8 Exhausted
FOXP1	ABLIM1	4	100.0	1.046921851819125	CD8 Exhausted
FOXP1	FOXP1	4	100.0	1.0	CD8 Exhausted
FOXP1	FYN	4	100.0	0.996005558668826	CD8 Exhausted
FOXP1	JUNB	3	75.0	0.8970934578810396	CD8 Exhausted
FOXP1	PIK3IP1	4	100.0	0.7833536623016223	CD8 Exhausted
FOXP1	SATB1	3	75.0	0.7634780966052984	CD8 Exhausted
FOXP1	PTGER4	3	75.0	0.7383493065863341	CD8 Exhausted
