regulator	target	condition	weight
CCND2	PBXIP1	differential	1
CCND2	CTSS	differential	1
CCND2	CNTRL	non-differential	1
CCND2	IRF2	differential	1
PTTG1	CMTM7	differential	1
PTTG1	EBNA1BP2	differential	1
UCP2	STAT3	differential	1
UCP2	PTP4A1	differential	1
UCP2	MYD88	differential	1
UCP2	PDHB	differential	1
GBP4	CMC1	differential	1
GBP4	DHRS7	differential	1
GBP4	RPA3	differential	1
GBP4	ARHGAP17	differential	1
PBX4	AK6	differential	1
PBX4	ITGB1BP1	differential	1
PBX4	MAT2A	differential	1
PBX4	PET100	differential	1
PBX4	RPA1	non-differential	1
PBX4	RBBP6	non-differential	1
TGFB1	PLIN2	non-differential	1
TGFB1	ARAP2	differential	1
TGFB1	IFRD1	non-differential	1
TGFB1	ACTN4	differential	1
CMIP	TOM1	differential	1
CMIP	PRDX2	differential	1
CMIP	YPEL3	non-differential	1
CMIP	ERP44	differential	1
CMIP	FOXN3	non-differential	1
FOSL2	MRPL11	differential	1
FOSL2	CDC42EP3	differential	1
FOSL2	CLEC2D	differential	1
FOSL2	PTPN4	differential	1
FOSL2	GBP2	differential	1
FOSL2	RASA2	differential	1
FOSL2	NUFIP2	non-differential	1
RALGAPA1	UPP1	differential	1
RALGAPA1	TMEM245	differential	1
